Well Name,API,Route,Company,Status
JOHN C VISE 14-52A,42211334530000,C 203,Presidio,SI
JOHN C VISE 16-52,42211333510000,C 203,Presidio,SI
JOHN C VISE 16-52A,42211333980000,C 203,Presidio,SI
JOHN C VISE 17-52,42211333310000,C 203,Presidio,Active
JOHN C VISE 17-52A,42211336710000,C 203,Presidio,SI
JOHN C VISE 18-52,42211333240000,C 203,Presidio,SI
JOHN C VISE 18-52A,42211338200000,C 203,Presidio,SI
JOHN DUNN 1H-30,35045234760000,E 300,Presidio,Active
JOHNSON #1-22,35039213280000,E 312,Presidio,Active
JOHNSON 20-15N-25W-3H,35129241410000,E 308,Presidio,Active
"JOHNSON, WILLIAM J. #1-217",42357355310000,N 104,Presidio,Active
JONES #3-35,35009208210000,E 310,Presidio,Active
JONES 166-2H,42295341590000,N 113,Presidio,Active
JONES -25- #406-1,42295306950000,N 111,Presidio,SI
JONES -25- 4062,42295314950000,N 111,Presidio,SI
JONES 99-1H,42295340670000,N 113,Presidio,Active
JONES 99-2H,42295338140100,N 113,Presidio,Active
JONES EST #1-11,42211309540000,N 113,Presidio,SI
"JONES JR, WALTER S /B/ #1-18",42211306240000,N 113,Presidio,SI
JONES TRUST 343 2H,42295329760000,N 111,Presidio,Active
JONES TRUST HMH 25-2H,42211355290000,N 113,Presidio,Active
JONES WALTER S. ET AL B #1-18H,42211352460000,N 113,Presidio,Active
"JONES, PAUL #1-36",35009204820000,E 310,Presidio,Active
JONESVILLE 1-7,35047239130000,N 116,Presidio,Active
JOSE #1-14H,35129236940000,E 305,Presidio,Active
JOSEPHINE 1,42295330300000,N 106,Presidio,SI
JOSEPHINE 239 2HD,42295341560000,N 106,Presidio,Active
JOYCE TRUST 10-12-20 1H,35039224430000,E 312,Presidio,Active
JUANITA #5-27,35039223120000,E 312,Presidio,Active
JUDE 1161-1,42295337630000,N 110,Presidio,SI
JUDY 24-14-25 1H,35129239860000,E 311,Presidio,Active
JUHRETTA #1-6,35129225110000,E 310,Presidio,SI
JUHRETTA #2-6,35129229320000,E 310,Presidio,Active
JULIA #2-3,35129226830000,E 307,Presidio,Active
JULIA #3-3,35129231170000,E 307,Presidio,Active
JULIA 71-1H,42211355150000,C 206,Presidio,Active
JUSTIN 1H-3,35129238410000,E 303,Presidio,Active
KAISER 2H-9,35045228820000,E 301,Presidio,Active
KAISER 9-3HT,35045234200000,E 301,Presidio,SI
KAISER 9-4H,35045234860000,E 301,Presidio,Active
KAREN #1-25HD-N,35129236800000,E 302,Presidio,Active
KEAHEY #1-19 DH REDRILL,35129233970000,E 302,Presidio,SI
KEAHEY #1-30HC,35129234490000,E 302,Presidio,SI
KEAHEY #2-19H,35129238170000,E 302,Presidio,Active
KEAHEY #2-28H,35129238200000,E 302,Presidio,Active
KEITH #2-58,42483327070000,C 214,Presidio,SI
KEITH 1-58,42483319490000,C 214,Presidio,SI
KELLN 117-01H,42295336620000,N 102,Presidio,SI
KELLN 205-01T,42295305250000,N 102,Presidio,Active
KELLN 205-02H,42295325910100,N 102,Presidio,Active
KELLN 205-03H,42295331730000,N 102,Presidio,SI
KELLN 206-02H,42295330770000,N 102,Presidio,Active
KELLN 28-1H,42211352680000,N 102,Presidio,Active
KELLN 28-2H,42211354600000,N 102,Presidio,Active
KELLN 327 #1,42295328920000,N 106,Presidio,Active
KELLN 327 #1HB,42295335760000,N 106,Presidio,Active
KELLN 327 #3H,42295341200000,N 106,Presidio,Active
"KELLN, C. H. #1-919-UT",42357816470000,N 101,Presidio,SI
"KELLN, C. H. #2-919-UT",42357002590000,N 101,Presidio,SI
KENDALL B #1-10,35129207300000,E 307,Presidio,Active
KENNEDY #1-16,35129203260000,E 310,Presidio,Active
KENNER #2-19,35039213370000,E 312,Presidio,Active
KENNER #3-19,35039216880000,E 312,Presidio,Active
KENNER #4-19,35039217910000,E 312,Presidio,Active
KENNER HALL #1-19 ST,35039208230000,E 312,Presidio,Active
KEPHART #1-17,35039212750000,E 312,Presidio,Active
KEPHART #1-18,35039213450000,E 312,Presidio,Active
KEPHART #3-22,35039222860000,E 312,Presidio,Active
KEY 11-1H,42483339270000,C 213,Presidio,Active
KEY 11-4,42483314760000,C 213,Presidio,Active
KEY 9-2,42483312340000,C 211,Presidio,SI
KIKER 06-06,42211341870000,C 210,Presidio,Active
KIKER 07-06,42211341780000,C 210,Presidio,Active
KIKER 16-06,42211341790000,C 210,Presidio,Active
KIKER 6-1H,42211354650000,C 210,Presidio,Active
KILHOFFER #1-33,35039208770000,E 306,Presidio,Active
KILHOFFER #3-33,35039215120000,E 306,Presidio,Active
KILHOFFER #4-33,35039217690000,E 306,Presidio,Active
KILLEBREW C P ETAL 3-189,42393307950000,N 104,Presidio,Active
KINCAID #1-5RH,35009213800000,E 313,Presidio,Active
KINCAID 103-1H,42211353880000,N 102,Presidio,Active
KINCAID 116-1H,42211351080000,N 102,Presidio,Active
KINCAID 1-28H,35129237680000,E 302,Presidio,Active
KING 641 #1H,42295341170000,N 106,Presidio,Active
KINNEY-WARREN #3-10,35009206510000,E 313,Presidio,Active
KIRK #1-9A,35009205020000,E 313,Presidio,SI
KIRK #7-9,35009214510000,E 313,Presidio,Active
KLEIN #1-36,35039206120000,E 306,Presidio,Active
KLEIN #2-25,35039223680000,E 306,Presidio,Active
KLEIN #2-36,35039214400000,E 306,Presidio,Active
KNOX PIPKIN 28 #3H,42357332340000,N 103,Presidio,Active
KNOX PIPKIN 28 #4H,42357332620000,N 103,Presidio,Active
KNOX PIPKIN 28 #5H,42357333380000,N 103,Presidio,SI
KNOX PIPKIN 28 #6H,42357333390000,N 103,Presidio,SI
KNOX-PIPKIN #1-28,42357003670000,N 103,Presidio,SI
KNOX-PIPKIN #2-28L,42357010630000,N 103,Presidio,Active
KOVACIC 114-01H,42295335520000,N 102,Presidio,SI
L A JOHNSON 01-59,42211311450000,C 217,Presidio,SI
L A JOHNSON 02-59,42211327890000,C 217,Presidio,SI
L A JOHNSON 02-59A,42211340750000,C 217,Presidio,Active
L A JOHNSON 03-59A,42211335590000,C 217,Presidio,Active
L A JOHNSON 03-59ST01H,42211328920000,C 217,Presidio,SI
L A JOHNSON 05-59,42211329830000,C 217,Presidio,Active
L A JOHNSON 07-59A,42211340720000,C 217,Presidio,SI
L A JOHNSON 10-59,42211334680000,C 217,Presidio,SI
L A JOHNSON 13-59A,42211340700000,C 217,Presidio,SI
L A JOHNSON 14-59,42211334650000,C 217,Presidio,SI
L A JOHNSON 14-59A,42211337290000,C 217,Presidio,SI
L A JOHNSON 15-59,42211334740000,C 217,Presidio,SI
L A JOHNSON 15-59A,42211337280000,C 217,Presidio,SI
L A JOHNSON 59-01A,42211341460000,C 217,Presidio,SI
L E HOOVER ESTATE 01,42211310210000,N 112,Presidio,SI
LACEY 16-14-24 1H,35129239130000,E 311,Presidio,Active
LAIR RANCH 58-1,42375318150000,N 100,Presidio,SI
LAIR RANCH 58-1HR,42375318210100,N 100,Presidio,Active
LANCASTER 01-02H,42483334770000,C 208,Presidio,Active
LANCASTER 2-27,35129229790000,C 215,Presidio,Active
LANDERS UNIT 2,42295318100000,N 102,Presidio,SI
LAUNE #1-54,42357315570000,N 103,Presidio,SI
LAVENA ROSE 1-23,35129214540000,C 215,Presidio,Active
LAVERNA 1H-19,35045232010000,E 300,Presidio,Active
LAVERNA 2H-19,35045234510000,E 300,Presidio,Active
LAVERNA 3H-19,35045235760000,E 300,Presidio,Active
LAYLA LEE 1H-21,35045236010000,E 300,Presidio,Active
LEAH #1-15,35129216680000,E 305,Presidio,Active
LEAH #2-15,35129218030000,E 305,Presidio,Active
LEAH #3-15,35129219520000,E 305,Presidio,Active
LEAH #4-15,35129224250000,E 305,Presidio,Active
LEAH #5-15,35129224380000,E 305,Presidio,Active
LEATHERMAN 1-10,35047243420000,N 116,Presidio,SI
LEDDY #1-26,35129212760000,E 304,Presidio,SI
LEDDY #1-35,35129221760000,E 304,Presidio,Active
LEDDY #2-28HD,35129238190000,E 304,Presidio,SI
LEDDY #2-34,35129220040000,E 304,Presidio,Active
LEDDY #2-35,35129231960000,E 304,Presidio,Active
LEDDY #4-34,35129227200000,E 304,Presidio,Active
LEDDY #6-34,35129230910000,E 304,Presidio,Active
LELAND MEKEEL 226 #4H,42357331840000,N 104,Presidio,Active
LENA YAUCK 1H-1,35045233820000,N 111,Presidio,Active
LENOX 1-6,35047238850001,N 116,Presidio,SI
LEONA 1-9H,35129233870000,E 303,Presidio,Active
LEONARD 2-10HA,35129237390000,C 215,Presidio,Active
LESA LYNETTE 1027-1HM,42295335820000,N 110,Presidio,Active
LESA LYNETTE 1027-3HM,42295338020000,N 110,Presidio,SI
LEVERTON #1-13,35149204200000,E 315,Presidio,Active
LEWIS 269-1H,42295341820000,N 111,Presidio,Active
LEWIS 32-1H,42211355280000,N 113,Presidio,Active
LINVILLE #1-32,35129204590000,E 310,Presidio,Active
LINVILLE #2-32,35129218420000,E 310,Presidio,Active
LIPPENCOTT 1-21,35129226580000,E 311,Presidio,Active
LISTON 260-1H,42295339790000,N 111,Presidio,Active
LOCKE 01-60,42211304630000,C 216,Presidio,SI
LOCKE 02-60,42211316150000,C 216,Presidio,SI
LOCKE 04-60,42211316130000,C 216,Presidio,SI
LOCKHART 10 #4HB,42211349240000,N 113,Presidio,Active
LOCKHART 10 1,42211335070000,N 113,Presidio,SI
LOCKHART 10 2HD,42211350800000,N 113,Presidio,SI
LOCKHART 36 6,42211335300000,N 113,Presidio,SI
LOCKHART 82 #2,42295329720000,N 113,Presidio,Active
LOCKHART 82 #3HA,42295336010000,N 113,Presidio,SI
LOCKHART 82 1,42295327230000,N 113,Presidio,SI
LOCKHART A 36 5,42211333020000,N 113,Presidio,SI
LOCKHART A 36-1 (TA),42211314070000,N 113,Presidio,SI
LOCKHART A 36-7HC,42211349950000,N 113,Presidio,Active
LOCKHART B 40-5HB,42211349660000,N 113,Presidio,SI
BECK #1,42195307350000,N 101,EQV,Active
LOCKHART STRIP 1,42211321630000,N 113,Presidio,Active
LORRIE 12-14-25 1H,35129239260000,E 311,Presidio,Active
LOTT 10-16H,42483335140000,C 208,Presidio,Active
LOTT 1116H,42483338200000,C 208,Presidio,Active
LOTT 15 2015H,42483330960000,C 208,Presidio,Active
LOTT 15 3015H,42483331360000,C 208,Presidio,Active
LAIRD #2,42195009990000,N 101,EQV,Active
LAIRD #3,42195308890000,N 101,EQV,Active
LOTT 15-16,42483328030000,C 208,Presidio,Active
LOTT 2016H,42483329400000,C 208,Presidio,Active
LOTT 3016H,42483331170000,C 208,Presidio,Active
LOTT 4016H,42483331430000,C 208,Presidio,Active
LOTT 7016H,42483333710000,C 208,Presidio,Active
LOUISE 1-30,35045230590000,E 300,Presidio,Active
LOVELACE #5-29,35129229870000,E 307,Presidio,Active
LOVELACE #6-29,35129231870000,E 307,Presidio,Active
SCHULTZ #1 (BRIGHTON ACQ),42357319830000,N 101,EQV,Active
SHAPLEY #3,42195006740000,N 101,EQV,Active
LOVELACE #7-29,35129232470000,E 307,Presidio,Active
LOVELL 1-23H,35129234810000,E 304,Presidio,Active
LOVELL-HUMPHREY 1,35047302190000,N 116,Presidio,Active
LOVETT #1- 2 (PDSI),35129213860000,E 304,Presidio,Active
LOVETT #1-11,35129212670000,E 304,Presidio,Active
